Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)
2851375,061	11,050	-0,545	-4,050
2851379,944	10,861	-0,950	-3,931
2851384,827	10,822	-0,881	-3,931
2851389,709	10,861	-1,010	-3,703
2851394,592	10,782	-1,218	-3,881
2851399,475	10,970	-1,079	-3,891
2851404,358	11,010	-1,000	-3,713
2851409,241	10,901	-1,059	-3,861
2851414,124	10,723	-0,970	-3,604
2851419,006	10,891	-0,950	-3,782
2851423,889	10,931	-1,079	-3,703
2851428,772	11,178	-0,950	-4,257
2851433,655	10,950	-0,812	-3,495
2851438,538	10,960	-1,000	-3,901
2851443,420	10,891	-1,168	-3,842
2851448,303	10,871	-0,891	-3,683
2851453,186	10,921	-1,059	-3,832
2851458,069	10,881	-1,099	-3,683
2851462,952	10,901	-1,050	-3,911
2851467,834	10,881	-1,030	-3,762
2851472,717	10,842	-1,000	-3,901
2851477,600	10,861	-1,050	-3,812
2851482,483	10,772	-1,069	-3,891
2851487,366	10,891	-1,059	-3,792
2851492,249	10,921	-1,030	-3,832
2851497,131	10,842	-1,059	-3,792
2851502,014	10,842	-1,000	-3,950
2851506,897	10,861	-1,089	-3,792
2851511,780	10,881	-1,059	-3,822
2851516,663	10,743	-1,059	-3,802
