Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL
mSecs	deg/sec	deg/sec	deg/sec
3340855,530	160,073	20,147	-160,440
3340860,413	160,073	10,256	-161,538
3340865,295	155,311	5,495	-159,707
3340870,178	150,549	1,099	-156,044
3340875,061	154,579	-3,663	-159,341
3340879,944	153,480	-2,564	-162,271
3340884,827	151,282	-8,425	-172,527
3340889,709	148,718	-6,227	-165,201
3340894,592	150,183	-4,396	-165,568
3340899,475	146,154	-11,722	-163,370
3340904,358	140,293	-11,722	-168,498
3340909,241	145,421	-12,454	-169,597
3340914,124	141,392	-15,385	-161,172
3340919,006	141,392	-16,484	-152,747
3340923,889	146,520	-13,553	-153,846
3340928,772	141,758	-12,821	-152,381
3340933,655	141,392	-1,099	-152,381
3340938,538	137,729	0,733	-153,114
3340943,420	141,392	-1,832	-151,282
3340948,303	139,194	3,297	-153,114
3340953,186	135,165	-3,297	-167,766
3340958,069	137,363	0,733	-168,132
3340962,952	138,095	4,762	-164,469
3340967,834	143,590	4,029	-147,253
3340972,717	148,718	11,355	-144,689
3340977,600	147,985	11,722	-139,194
3340982,483	145,421	13,187	-138,462
3340987,366	140,293	10,989	-136,996
3340992,249	138,462	13,187	-147,253
3340997,131	138,462	3,297	-157,143
3341002,014	134,799	0,000	-167,766
3341006,897	133,333	-8,059	-164,103
3341011,780	125,641	-13,553	-166,300
3341016,663	129,304	-11,355	-179,853
3341021,545	124,542	-17,949	-182,784
3341026,428	121,245	-13,553	-193,773
3341031,311	126,374	-14,652	-194,872
3341036,194	132,234	-11,722	-182,784
3341041,077	135,897	-12,088	-170,696
3341045,959	136,264	-9,524	-159,707
3341050,842	135,531	-10,989	-159,707
3341055,725	138,095	-12,454	-165,934
3341060,608	145,788	-7,326	-159,707
3341065,491	142,125	-2,564	-152,747
3341070,374	138,828	-12,088	-149,084
3341075,256	133,700	-14,286	-159,707
3341080,139	116,850	-14,286	-173,993
3341085,022	125,641	-17,949	-173,260
3341089,905	119,414	-15,385	-178,388
3341094,788	120,147	-12,821	-176,557
3341099,670	124,542	-16,117	-174,359
3341104,553	124,908	-19,414	-182,051
3341109,436	118,681	-17,582	-183,516
3341114,319	114,652	-18,315	-191,209
3341119,202	120,147	-14,286	-196,337
3341124,084	115,385	-6,593	-203,297
3341128,967	118,315	-8,059	-202,564
3341133,850	128,205	-8,425	-200,733
3341138,733	123,810	-6,960	-199,634
3341143,616	114,286	-11,355	-199,267
3341148,499	117,949	-17,949	-198,168
3341153,381	115,385	-13,553	-187,546
3341158,264	123,443	-23,443	-185,714
3341163,147	116,484	-33,333	-197,070
3341168,030	119,780	-32,601	-192,308
3341172,913	130,769	-26,374	-190,842
3341177,795	120,513	-31,868	-191,575
3341182,678	133,700	-23,443	-183,516
3341187,561	134,799	-17,582	-184,982
3341192,444	136,264	-1,832	-183,150
3341197,327	130,769	-8,425	-186,813
3341202,209	128,205	-6,227	-189,377
3341207,092	133,333	-10,256	-195,604
3341211,975	130,403	-5,128	-187,912
3341216,858	128,571	-3,297	-179,487
3341221,741	128,938	1,832	-174,725
3341226,624	118,681	-2,198	-186,081
3341231,506	120,513	-4,029	-197,802
3341236,389	123,077	-6,960	-198,901
3341241,272	130,403	-8,059	-202,564
3341246,155	125,641	-3,663	-205,128
3341251,038	127,106	-1,099	-199,267
3341255,920	133,333	-0,366	-203,297
3341260,803	136,264	-0,733	-200,733
3341265,686	131,502	-9,158	-204,029
3341270,569	131,868	-3,663	-205,128
3341275,452	131,868	-1,099	-200,000
3341280,334	129,670	-8,059	-196,337
3341285,217	135,531	-1,465	-186,081
3341290,100	146,520	8,059	-173,626
3341294,983	153,480	10,256	-168,864
3341299,866	149,084	17,949	-167,033
3341304,749	146,886	21,245	-173,993
3341309,631	140,659	20,147	-178,022
3341314,514	145,788	24,176	-176,557
3341319,397	141,758	26,740	-183,150
3341324,280	135,165	22,344	-185,714
3341329,163	136,630	21,978	-190,476
3341334,045	140,659	21,245	-187,546
3341338,928	142,491	26,007	-186,081
3341343,811	145,055	24,908	-179,487
3341348,694	148,352	28,938	-184,615
3341353,577	141,392	23,077	-180,220
3341358,459	145,788	25,641	-176,557
3341363,342	142,491	18,681	-178,388
3341368,225	136,996	13,553	-175,092
3341373,108	140,293	17,949	-174,725
3341377,991	137,729	10,989	-176,190
3341382,874	137,363	9,158	-182,418
3341387,756	133,700	4,762	-190,110
3341392,639	133,333	10,623	-190,476
3341397,522	134,432	12,454	-187,912
3341402,405	130,403	13,919	-189,377
3341407,288	131,502	13,919	-180,220
3341412,170	137,729	15,751	-175,824
3341417,053	139,194	16,850	-172,894
3341421,936	138,095	10,256	-169,963
3341426,819	142,857	10,989	-171,062
3341431,702	137,729	8,791	-175,824
3341436,584	136,630	16,850	-180,586
3341441,467	141,026	18,681	-188,278
3341446,350	138,095	15,751	-195,238
3341451,233	139,560	27,839	-186,081
3341456,116	144,689	24,176	-177,289
3341460,999	149,451	28,205	-171,429
3341465,881	144,689	36,264	-163,736
3341470,764	148,718	29,670	-167,399
3341475,647	144,689	39,194	-173,260
3341480,530	155,311	38,828	-175,092
3341485,413	147,253	38,462	-168,864
3341490,295	149,451	39,927	-173,993
3341495,178	154,945	38,828	-171,429
3341500,061	146,154	33,700	-174,725
3341504,944	143,956	29,304	-170,696
3341509,827	141,026	27,839	-157,143
3341514,709	141,758	20,147	-156,044
3341519,592	146,154	17,949	-153,480
3341524,475	140,293	11,722	-156,044
3341529,358	138,462	10,989	-165,201
3341534,241	129,304	-0,366	-167,033
3341539,124	136,996	7,692	-161,905
3341544,006	134,799	7,326	-167,766
3341548,889	134,066	12,088	-169,597
3341553,772	131,868	13,553	-176,557
3341558,655	132,601	11,722	-184,982
3341563,538	126,374	11,355	-190,476
3341568,420	132,234	20,879	-187,179
3341573,303	134,432	21,978	-175,824
3341578,186	142,491	26,374	-171,062
3341583,069	143,956	26,374	-173,626
3341587,952	145,788	33,333	-175,092
3341592,834	149,451	42,491	-170,696
3341597,717	149,084	45,421	-166,300
3341602,600	149,451	40,659	-163,736
3341607,483	147,619	34,432	-155,678
3341612,366	149,817	31,136	-154,212
3341617,249	143,590	29,304	-156,044
3341622,131	143,956	28,571	-157,509
3341627,014	146,154	23,810	-162,271
3341631,897	144,689	14,286	-164,469
3341636,780	140,659	18,681	-167,399
3341641,663	136,996	10,989	-163,004
3341646,545	131,136	12,088	-171,429
3341651,428	123,443	7,326	-178,755
3341656,311	130,037	11,355	-186,081
3341661,194	130,037	10,256	-196,703
3341666,077	131,502	12,821	-188,645
3341670,959	136,264	22,711	-179,487
3341675,842	144,322	15,751	-165,201
3341680,725	142,491	24,176	-168,132
3341685,608	146,520	24,176	-155,311
3341690,491	139,927	22,344	-155,678
3341695,374	144,322	20,513	-162,637
3341700,256	149,451	17,582	-160,073
3341705,139	142,491	16,117	-151,282
3341710,022	141,758	9,890	-158,608
3341714,905	140,293	12,821	-156,777
3341719,788	140,293	11,722	-162,271
3341724,670	132,601	20,879	-169,963
3341729,553	136,996	13,919	-173,626
3341734,436	138,095	28,938	-179,121
3341739,319	140,659	33,333	-173,626
3341744,202	142,857	38,462	-173,260
3341749,084	147,253	38,095	-167,766
3341753,967	147,619	32,601	-165,201
3341758,850	146,520	32,967	-154,579
3341763,733	139,927	29,670	-158,974
3341768,616	142,491	25,275	-156,410
3341773,499	134,066	16,850	-168,132
3341778,381	138,095	8,791	-168,132
3341783,264	131,502	0,366	-175,092
3341788,147	129,304	6,960	-157,143
