Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	mSecs	m/(sec^2)*	m/(sec^2)*	m/(sec^2)*
30625	2974	2087	1707	46934,6008300781	9,16831683168317	0,386138613861386	-3,37623762376238
30785	2976	2077	1715	46939,4836425781	9,18811881188119	0,287128712871287	-3,2970297029703
30945	2983	2083	1669	46944,3664550781	9,25742574257426	0,346534653465347	-3,75247524752475
31105	2974	2056	1693	46949,2492675781	9,16831683168317	0,0792079207920792	-3,51485148514851
31265	2950	2095	1704	46954,1320800781	8,93069306930693	0,465346534653465	-3,40594059405941
31425	3004	2085	1679	46959,0148925781	9,46534653465346	0,366336633663366	-3,65346534653465
31585	2997	2070	1693	46963,8977050781	9,3960396039604	0,217821782178218	-3,51485148514851
31745	2998	2095	1677	46968,7805175781	9,40594059405941	0,465346534653465	-3,67326732673267
31905	2980	2058	1699	46973,6633300781	9,22772277227723	0,099009900990099	-3,45544554455446
32065	2952	2082	1710	46978,5461425781	8,95049504950495	0,336633663366337	-3,34653465346535
32225	2983	2087	1691	46983,4289550781	9,25742574257426	0,386138613861386	-3,53465346534653
32385	2961	2083	1685	46988,3117675781	9,03960396039604	0,346534653465347	-3,59405940594059
32545	2979	2106	1692	46993,1945800781	9,21782178217822	0,574257425742574	-3,52475247524752
32705	2975	2084	1699	46998,0773925781	9,17821782178218	0,356435643564356	-3,45544554455446
32865	2978	2067	1696	47002,9602050781	9,20792079207921	0,188118811881188	-3,48514851485149
33025	2976	2078	1678	47007,8430175781	9,18811881188119	0,297029702970297	-3,66336633663366
33185	2976	2071	1688	47012,7258300781	9,18811881188119	0,227722772277228	-3,56435643564356
33345	2977	2093	1685	47017,6086425781	9,1980198019802	0,445544554455446	-3,59405940594059
33505	2990	2081	1706	47022,4914550781	9,32673267326733	0,326732673267327	-3,38613861386139
33665	2970	2085	1702	47027,3742675781	9,12871287128713	0,366336633663366	-3,42574257425743
33825	2987	2087	1688	47032,2570800781	9,2970297029703	0,386138613861386	-3,56435643564356
33985	2986	2074	1687	47037,1398925781	9,28712871287129	0,257425742574257	-3,57425742574257
34145	2976	2094	1692	47042,0227050781	9,18811881188119	0,455445544554455	-3,52475247524752
34305	2971	2071	1697	47046,9055175781	9,13861386138614	0,227722772277228	-3,47524752475248
34465	2980	2078	1685	47051,7883300781	9,22772277227723	0,297029702970297	-3,59405940594059
34625	2983	2087	1709	47056,6711425781	9,25742574257426	0,386138613861386	-3,35643564356436
34785	2987	2078	1691	47061,5539550781	9,2970297029703	0,297029702970297	-3,53465346534653
34945	2978	2095	1681	47066,4367675781	9,20792079207921	0,465346534653465	-3,63366336633663
35105	2980	2071	1718	47071,3195800781	9,22772277227723	0,227722772277228	-3,26732673267327
